SN,Filename,Title of Song,URL,Language,TYPE,Sentiment,Lyrics,Genre,Meaning of Song,,,,,,,,,,,,,,,,
1,Segment_1_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
2,Segment_2_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
3,Segment_3_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
4,Segment_4_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,Type,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
5,Segment_5_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
6,Segment_6_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
7,Segment_7_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
8,Segment_8_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
9,Segment_9_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
10,Segment_10_Akesse Brempong - Blessed Ft. Joe Mettle.mp3,Akese Brempong - Blessed Ft. Joe Mettle,https://www.youtube.com/watch?v=KzYFKtegIn8,Twi,MP3,Positive,"here we go Eh-woh, eh-woh, oh-na-na-na Oh-na-na-na-na-na-na Who am I that You are mindful of me I am nobody but You listen to me Round Your mercies, every morning I see O happy day, You have taken my sins away Lord You set Your love on me, set Your love on me And You shine Your light on me, shine Your light on me Lord You set Your love on me, set Your love on me, eh-eh And I can say that I am blessed The graceful God has blessed me The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Jesu bless me (bless me) Jesu bless me (bless me) Oluwa bless me (bless me, bless me) eh, oh-ya-ya-ya-ya Lord You have poured Your anointing upon my head And my cup is running over Surely Your goodness and Your mercy ever follow me All of the days, the days of my life (here we go, say) Goodness and mercy (follow me) Kindness and favour (follow me) Signs and wonders (follow me) Oh-na-na-na-na-na-na-na (follow me) I am blessed, I am blessed (follow me) Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) ye-ye-ye-ye Omo Jesu bless me (bless me, bless me) Oluwa bless me (bless me, bless me) Everybody say, I am blessed (I am blessed) I am blessed (I am blessed) Everybody say, I am blessed (I am blessed alright) Everybody, everybody say, say (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) I am blessed (I am blessed) Oh-na-na-na-na-na-na-na (I am blessed) I'm blessed in the city, in the field Blessed with a Camry in my compound Oh-na-na-na-na, eh-ya-ya-ya-ya-ya In the city (I am blessed) In the field (I am blessed) When I'm coming (I am blessed) When I go out The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He's looked after me and kept me (Kept me) o (Kept me) The graceful God has blessed me (Blessed me) Blessed me o (Bleesed me) ha He has come to my aid and helped me (Helped me) o (Helped me) Everybody say",Gospel,"Blessed talks of how we are blessed by the Lord God Almighty. And the goodness, mercy, favour and all that the Lord has showered on us.",,,,,,,,,,,,,,,,
