SN,Filename,Title of Song,Url,Language,Lyrics,Genre,Meaning of Song,Sentiment,Onset_Strength,Chroma_Shift,HPSS,Zero_Crossing_Rate,MFCC
1,Segment_1_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.329549,0.44058546,4.2789754e-05,0.05319420889864326,"[-1.6626730e+02  1.2450773e+02 -2.9155966e+01  4.1058983e+01
 -9.1499300e+00  1.8235104e+01 -3.8370075e+00  5.2475533e+00
  2.6347372e-01 -3.0184180e-01  2.1166708e+00  1.2863362e+00
  4.9006581e+00 -1.5384858e+00  1.4389410e+00 -2.4643474e+00
 -1.5648715e-01  6.2736690e-01 -4.3790227e-01 -5.2502117e+00
 -1.5323915e+00 -2.5214581e+00 -6.7338264e-01 -4.9306031e-02
  1.7040966e+00  4.0920901e+00  3.9782624e+00  3.8496780e+00
  1.3590108e+00  1.0624042e+00 -1.8005868e+00  6.4203244e-01
  6.4497596e-01  1.7070969e+00  3.9171029e-02 -1.5254489e+00
  4.5365527e-01  1.0913302e+00  8.7504172e-01  1.5104403e+00]"
2,Segment_2_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.2298642,0.4201136,3.678897e-05,0.06016798143262987,"[-1.0227590e+02  1.3046941e+02 -3.5261578e+01  5.5447018e+01
 -8.6692305e+00  2.9174015e+01 -1.3061069e+01  3.2885578e+00
 -1.1042572e+01 -1.4549936e+00  3.4275823e+00  7.1094787e-01
  7.7461034e-02  1.8943506e+00  7.2640204e+00 -2.8718543e+00
  4.3129683e+00  3.4566823e-02  2.3714893e-01 -9.8577557e+00
 -7.9660445e-01 -5.1799216e+00 -5.7835965e+00 -3.3820655e+00
  4.2020965e-01  2.4124622e+00  2.0602160e+00  8.7821856e+00
  7.1780806e+00  6.2975130e+00  1.9815249e+00  3.4445586e+00
 -3.1813302e+00 -2.0335069e+00 -2.1646261e-01 -9.1318852e-01
  8.9025311e-02  1.5313032e+00 -2.9144138e-01 -1.5739914e+00]"
3,Segment_3_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.312191,0.41332194,3.307775e-05,0.04896173591461385,"[-1.3265306e+02  1.3730482e+02 -2.4420794e+01  4.3139194e+01
 -8.7294073e+00  2.3375130e+01 -5.5744104e+00  1.1011458e+01
 -1.0268120e+00 -1.1434716e+00 -9.5040494e-01  1.7794247e+00
  1.9659768e+00 -1.5187018e+00  1.7095445e+00  2.1147758e-01
  3.4782705e+00  1.3493924e+00  5.7674584e+00 -3.4492133e+00
  1.2056770e+00 -1.1387486e+00  1.2629884e+00 -2.8205532e-01
  2.7857838e+00  4.4562206e+00  3.0972509e+00  1.7617701e+00
 -2.3691925e-01  1.1419564e+00 -3.5242248e+00  1.5099790e+00
  1.1115607e+00  3.1220908e+00  1.2347540e-01 -3.8577762e-01
  2.7174661e+00  5.5357199e+00  3.7832096e+00  1.4128419e+00]"
4,Segment_4_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.2948054,0.44093198,2.867126e-08,0.04850438621502433,"[-1.3075441e+02  1.4250072e+02 -1.8453293e+01  4.4814709e+01
 -9.9656124e+00  2.3599749e+01 -6.8620515e+00  9.3817825e+00
 -1.8584769e+00 -1.6398787e+00 -2.1941259e+00  4.5493817e-01
  2.9972579e+00  1.0183573e+00  2.7063286e+00 -3.5023856e-01
  3.4713736e+00  4.6240962e-01  3.3578331e+00 -5.6114631e+00
  1.8859574e-01 -1.2967989e+00  1.3108026e+00  1.0688434e+00
  2.9240324e+00  1.0375681e+00 -1.7038701e+00 -1.1982192e+00
 -1.9457117e-01  2.3374038e+00 -1.5211875e+00  3.0074353e+00
  1.2185090e+00  1.5486733e+00 -1.1365306e+00 -1.9836530e-01
  1.1687783e+00  1.8145062e+00  1.0095425e+00  8.5966974e-02]"
5,Segment_5_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.2473577,0.4296981,-0.00014958267,0.05758830063215649,"[-1.0994281e+02  1.3733968e+02 -2.5138542e+01  4.3338066e+01
 -1.4400194e+01  2.8694868e+01 -8.3034420e+00  1.4375862e+01
 -1.4609530e+00  4.1915712e+00 -1.1536677e+00  1.7897871e+00
  2.1334908e+00 -1.3703111e+00  2.3478780e+00 -1.6459286e-01
  5.7648993e+00 -1.0801319e+00  4.3482904e+00 -3.7476661e+00
  1.0690846e+00 -2.7276716e+00  1.1095905e+00 -2.0638127e+00
  1.3835201e+00  2.3010304e+00  3.7996334e-01  7.8014529e-01
  8.8664585e-01  3.1227729e+00 -2.6313775e+00  1.8018392e+00
 -9.5489353e-01 -1.1198224e-02 -1.0285599e+00  8.0427796e-01
  9.3059480e-01  2.6034801e+00  1.1002071e+00  1.5337577e+00]"
6,Segment_6_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.2356111,0.43569157,0.00012224332,0.05591759907334385,"[-104.08576     134.6469      -29.69106      46.064846    -13.559284
   27.705894     -8.719219     12.858796     -5.446211      2.3805401
    0.9530292     3.3291798     2.1363773     0.66278344    2.6595235
   -4.516834      1.4324068    -1.2348863     4.8074746    -5.3854027
    1.9341109    -0.8592878     2.5797608    -1.7451972     0.65065
    1.5097333     1.3801887     4.079881      4.790387      7.4104376
    0.37494993    3.344128     -0.9452887    -0.5619998    -2.3312807
   -0.7388475    -1.9573799    -0.17600806   -0.19005808    0.67835   ]"
7,Segment_7_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.2052932,0.42840016,0.000106069456,0.057970344904407,"[-1.0239181e+02  1.3727921e+02 -3.2877224e+01  5.1698997e+01
 -1.4136120e+01  2.4768187e+01 -2.5682037e+00  1.4282485e+01
 -6.0837846e+00  1.5965906e+00  8.8996536e-01  7.9100263e-01
  4.2732010e+00  3.6583271e+00  7.4408064e+00 -3.4425492e+00
  5.5665773e-01  1.0991806e+00  6.8844557e+00 -5.4771929e+00
 -1.3731326e+00  3.6703119e-01  2.6165705e+00 -2.2398534e+00
  2.7600067e+00  4.3271809e+00  7.2696877e-01  1.2765525e-01
 -1.5033358e+00  2.5599728e+00 -2.4314575e+00  3.8778024e+00
  3.5235078e+00  2.3936505e+00 -1.4733059e+00 -9.0195370e-01
  3.8877156e-01  1.2158313e+00  8.7644726e-01  1.9483818e+00]"
8,Segment_8_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.1975214,0.41242993,-2.2555401e-05,0.0605999026284621,"[-1.0208661e+02  1.4141440e+02 -3.6639259e+01  5.2077408e+01
 -9.5065069e+00  2.4663624e+01 -4.0881405e+00  1.1088088e+01
 -5.0848217e+00  1.0824077e+00  5.2958751e+00  1.7620283e+00
  9.9010819e-01 -1.3228534e-01  5.0763435e+00 -3.5054057e+00
  3.4240029e+00  5.2063475e+00  7.9078884e+00 -6.3035097e+00
 -1.1131068e+00  1.8165141e+00  1.2419175e+00 -9.9012226e-01
  3.4988983e+00  4.6074553e+00  1.2534809e+00  2.3632481e+00
  7.2606641e-01  2.6791649e+00 -3.2764676e+00  2.5388925e+00
  7.9567927e-01  8.2698482e-01  1.5584176e+00 -8.4226930e-01
 -1.2000695e-01  8.0329221e-01  1.8433998e+00  1.0333678e+00]"
9,Segment_9_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.244706,0.45236626,4.2024745e-05,0.049068486358359135,"[-1.1858709e+02  1.3884314e+02 -2.1937370e+01  5.0967228e+01
 -1.1733382e+01  2.7388384e+01 -5.5546722e+00  1.1936117e+01
 -3.1679471e+00  4.4163200e-01  2.9808719e+00  1.6873873e+00
  1.9845232e+00  2.1395719e+00  7.0213704e+00 -2.0205123e+00
  1.0769310e+00  1.5193075e+00  4.8704386e+00 -5.9095488e+00
  6.1624438e-01 -1.4815427e+00 -2.1840203e-01 -6.0364819e-01
  2.0151353e+00  3.6442335e+00  2.7190697e+00  3.6376753e+00
  3.0873644e+00  4.0675411e+00 -9.9771202e-01  2.7318649e+00
  4.7821246e-02  2.3505031e-01 -1.2424349e+00 -5.5769700e-01
 -7.5349504e-01 -1.3657981e-01  1.6243440e-01  7.1746004e-01]"
10,Segment_10_Akesse Brempong - Crazy Love Ft. Bernard Franklyn.mp3,Akesse Brempong - Crazy Love Ft. Bernard Franklyn,https://www.youtube.com/watch?v=4Q6MC3oolGQ,English,"Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Somebody scream, Hallelujah
In the morning when I wake up,
I will sing my praise unto You my Lord
I will shout, I will dance to You
You have been my help, forever and ever
Hey, our God is good o! (Hey, our God is good o!) Everything na double double o
Promotion na double double o (na double double o)
Your money double double o (na double double o)
Your business double double o (na double double o)
Your health go double double o (na double double o)
Your children double double o (na double double o)
Your anointing double double o (na double double o)
Hey, my God is good o! (Hey, my God is good o!) 
You are worthy Lord (x4)
Praise the Lord! (x6)
In the morning 
Praise the Lord!
In the evening
Praise the Lord!
In good times
Praise the Lord!
And in bad times
Praise the Lord!
Turn around
Clap your hands
Somebody scream
Hey, my God is good e o!
Hey, my God is good e o!
Everything na double double o
Your healing go double double o (na double double o)
Your deliverance double double o (na double double o)
You are worthy Lord",Gospel,Crazy love tells of how crazy the love of God for His children are. God goes to the ends to give the best to His children.,Positive,1.2289875,0.47424665,4.289406e-05,0.04664376795977011,"[-118.43904     143.52293     -21.030226     44.76115     -12.1026745
   26.352442     -6.1391945    16.228596      0.7314639    -0.48160914
    0.71509       4.447597      3.4081156    -1.3230543     1.6509259
   -1.3519653     3.867929      2.3847406     6.708878     -1.8167444
    3.970278     -1.1625348     1.2841922    -0.48660967    0.83425003
    2.7081895     2.734359      1.0882478    -1.6335695     0.7863827
   -2.104218      2.5534794    -0.7493311     0.29474434   -1.9433483
   -0.895065     -0.28282514    1.6860344     1.5357035     0.82648206]"
