SN,Filename,Title of Song,Url,Language,Lyrics,Genre,Meaning of Song,Sentiment,Onset_Strength,Chroma_Shift,HPSS,Zero_Crossing_Rate,MFCC
1,Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.6698486,0.42267102,1.6074513e-05,0.13128062961392659,"[-2.6544040e+02  8.4744766e+01 -3.2730766e+01  6.4061768e+01
 -2.5430367e+01  2.7865973e+01  7.7573514e-01  1.7046326e+01
 -6.7360573e-02 -3.5519236e-01 -1.2182338e+01  6.1017623e+00
  2.6079040e+00  1.2218950e+00 -1.0138815e+01 -8.5058250e+00
  1.4052984e+00 -3.8146977e+00  6.4847536e+00 -8.2695141e+00
  1.7531186e+00 -1.1281561e+01 -2.6779065e+00  2.3263693e-01
  5.2728643e+00 -5.9232249e+00 -9.7921143e+00 -1.4327108e+00
  1.5520775e+00  3.4951465e+00  2.4155893e-03  1.3836917e+00
 -2.0333734e+00  6.3859620e+00 -3.3918951e+00  2.0400355e+00
  4.2862482e+00  2.6116974e+00 -4.0160246e+00 -2.8795353e-01]"
2,Segment_2_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x4",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.4784925,0.4623632,1.4059381e-06,0.06059411855844351,"[-2.2746808e+02  1.4063101e+02 -1.6700972e+01  5.2712784e+01
 -2.1910166e+01  2.6853741e+01  4.2611437e+00  8.3443394e+00
  2.4453547e+00  1.4521855e+00 -8.1117573e+00  4.4044728e+00
 -1.3527145e+00  2.1934718e-01 -9.7051353e+00 -5.1169715e+00
  2.6137607e+00 -3.4828393e+00  5.6607914e+00 -7.5454688e+00
  3.4888330e+00 -7.6977949e+00 -4.8174114e+00 -1.0534528e+00
  2.8704545e+00 -3.6325345e+00 -7.2777319e+00 -1.1526049e+00
 -6.4346302e-01 -1.3322194e+00 -6.8898189e-01 -2.3163557e+00
 -3.5021975e+00  6.5039954e+00 -8.7558895e-01  6.0652056e+00
  6.3403497e+00  2.2300702e-01 -7.1498084e+00 -2.4654691e+00]"
3,Segment_3_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x5",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.4084909,0.48425707,5.942066e-06,0.07109781402998776,"[-1.9682053e+02  1.4087244e+02 -2.8239075e+01  5.0807022e+01
 -2.5300610e+01  2.8471504e+01 -2.2890127e+00  1.1109821e+01
 -3.8176391e+00  2.8720937e+00 -5.6298537e+00  5.9373250e+00
 -2.8867743e+00 -1.8664398e+00 -6.4748468e+00 -6.4036827e+00
  7.8509277e-01 -6.0563889e+00  5.1742625e+00 -8.0647297e+00
  2.3001275e+00 -7.1032591e+00 -8.4887242e-01 -3.3118999e-01
  4.5434427e+00 -1.8428882e+00 -6.2923722e+00 -2.0131288e+00
 -1.5662051e+00  1.0951647e+00  1.3589370e+00  1.5727110e-01
 -5.4860044e+00  2.7256143e+00 -4.0143528e+00  4.0460501e+00
  5.7025595e+00  2.7209764e+00 -5.4381981e+00 -4.7513375e+00]"
4,Segment_4_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x6",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.3355342,0.4621698,-1.051136e-06,0.07486308618133583,"[-1.78292267e+02  1.42037903e+02 -3.80058022e+01  4.89167366e+01
 -2.56144085e+01  3.07963581e+01 -8.65886593e+00  1.20938463e+01
 -6.26905251e+00  2.43841672e+00 -9.41335773e+00  4.32826805e+00
 -4.06628847e+00 -3.60952926e+00 -7.04180813e+00 -7.11080742e+00
  1.29484034e+00 -6.84996033e+00  3.94495440e+00 -9.29563141e+00
  3.28037763e+00 -8.86674690e+00 -8.07155907e-01  4.70190942e-01
  6.39313793e+00 -1.86597168e+00 -5.66808748e+00  3.63743484e-01
 -1.23887844e-01  9.17910814e-01 -3.35814983e-01  1.30235457e+00
 -5.29445839e+00  2.78777504e+00 -3.65867209e+00  4.74659348e+00
  5.59725857e+00  4.36063051e+00 -3.26081967e+00 -3.94281864e+00]"
5,Segment_5_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x7",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.4063721,0.44145492,8.31597e-05,0.06664852695610687,"[-1.8934619e+02  1.3831366e+02 -2.5033596e+01  4.6859673e+01
 -2.3894169e+01  2.3700710e+01  4.2297238e-01  9.0057831e+00
 -3.5372548e+00 -9.6468702e-02 -6.6218295e+00  6.2368746e+00
 -2.4704726e+00 -2.7122412e+00 -5.3948307e+00 -3.8030927e+00
  4.8561823e-01 -5.5775552e+00  4.7405400e+00 -8.1705894e+00
  7.3379898e-01 -6.6390615e+00 -2.2947826e+00 -3.0098047e+00
  1.9225885e+00 -1.6912503e+00 -4.0158563e+00 -8.9311773e-01
 -5.5318936e-03  1.8188041e+00 -4.3509059e-02 -1.8129115e-01
 -2.6936181e+00  6.2239609e+00 -4.4030535e-01  4.2801452e+00
  4.1264081e+00  9.1371030e-01 -4.9775281e+00 -2.1181095e+00]"
6,Segment_6_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x8",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.3775359,0.4290232,4.39953e-05,0.07328594257305195,"[-166.05223     139.96631     -31.462711     50.11314     -31.077543
   26.103003     -7.488771     15.23489     -10.728246      1.7476802
  -10.009786      9.142341     -1.0762801    -2.3306067    -4.0845747
   -4.950218      0.2058354    -6.9641156     6.909672     -9.960138
    1.3282242    -6.745549      2.200413     -4.393295      0.7117606
   -2.3482606    -3.2006388     0.7563917     0.85026443    1.6950605
   -1.2032955    -1.8121743    -5.622467      4.298505     -3.3897214
    3.1801496     1.0084449     2.5494955    -3.524636     -0.2066962 ]"
7,Segment_7_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x9",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.3216931,0.4402471,-5.3223896e-05,0.0780299306705298,"[-1.5684621e+02  1.3801962e+02 -4.1154510e+01  4.8209461e+01
 -2.9523331e+01  2.7998556e+01 -1.1630576e+01  1.5548828e+01
 -1.0447707e+01  3.0202048e+00 -9.8237677e+00  6.0763879e+00
 -3.3177648e+00 -3.7832582e+00 -4.6685019e+00 -6.1922317e+00
  9.2980430e-02 -7.5658369e+00  3.9462543e+00 -9.7205181e+00
  2.2910266e+00 -8.0226431e+00  2.1658220e+00 -3.4465384e+00
  3.9746230e+00 -1.8518471e+00 -3.9224701e+00 -4.9765381e-01
 -1.2634163e-01  3.1853361e+00  9.1555381e-01  2.0381222e+00
 -5.8267365e+00  2.9239495e+00 -3.7772460e+00  3.8840103e+00
  2.2242327e+00  3.4990985e+00 -2.9916611e+00 -1.7324549e+00]"
8,Segment_8_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x10",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.2721694,0.46583667,-7.632583e-06,0.07363598401556157,"[-1.7478201e+02  1.4332845e+02 -4.0185307e+01  4.9138752e+01
 -2.2821299e+01  2.9398102e+01 -8.8269930e+00  1.2357815e+01
 -6.0989547e+00  4.5862513e+00 -7.1310272e+00  5.6650820e+00
 -1.8717916e+00 -3.4258866e+00 -5.1956697e+00 -5.6590910e+00
  2.3674984e+00 -6.7084017e+00  3.8305733e+00 -7.6972599e+00
  3.8132553e+00 -8.3846359e+00 -2.3396614e+00 -1.8015594e+00
  4.3803334e+00 -1.5501344e+00 -5.2934461e+00 -6.8479931e-01
 -7.8324723e-01  1.5801135e-01 -1.7628245e+00  7.9162352e-02
 -5.6789851e+00  3.3061821e+00 -3.1065960e+00  4.1630607e+00
  4.4821658e+00  2.1749949e+00 -4.0089555e+00 -2.6510742e+00]"
9,Segment_9_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x11",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.4056458,0.4152804,1.0228665e-05,0.0673278471382942,"[-1.8864532e+02  1.3792744e+02 -2.5846678e+01  5.2666046e+01
 -3.0017248e+01  2.5862095e+01 -4.8870087e+00  1.4286911e+01
 -8.3922558e+00 -4.3529803e-01 -1.0625816e+01  5.8434181e+00
 -2.0828454e+00 -2.9062858e+00 -4.6825171e+00 -4.4608431e+00
  1.1837220e+00 -5.7045388e+00  6.5495129e+00 -9.4848404e+00
 -9.2999369e-01 -9.6637411e+00 -1.5669414e+00 -4.6372404e+00
  1.0381401e+00 -3.1597795e+00 -4.1873894e+00 -1.3394121e+00
 -1.3794494e+00  2.7771623e+00  1.6105460e-01 -4.1862246e-01
 -2.5828261e+00  8.1976662e+00 -2.4559391e-01  5.0132937e+00
  3.6130903e+00  1.1572490e+00 -5.9451494e+00 -3.0244963e+00]"
10,Segment_10_A. B. Crentsil - I Go Pay You Tomorrow.mp3,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,English,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I donât know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x12",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges.",Negative,1.390523,0.44837943,2.7088292e-05,0.06828454658810028,"[-1.8968895e+02  1.3850336e+02 -2.4321962e+01  4.9301254e+01
 -2.7048613e+01  2.4319468e+01 -4.7405205e+00  1.3214728e+01
 -5.4870548e+00 -1.7415822e+00 -1.1142367e+01  5.2069077e+00
 -2.0732579e+00 -2.9414494e+00 -5.2066174e+00 -4.1399651e+00
  1.6188446e-01 -5.6756063e+00  6.2886448e+00 -8.6817312e+00
 -1.7187388e+00 -9.3817368e+00  3.5058018e-02 -1.1209267e+00
  3.5969446e+00 -1.8482542e+00 -3.0965672e+00 -6.4760381e-01
 -7.0692557e-01  1.7985406e+00  4.2403173e-01 -1.3297485e+00
 -5.0607290e+00  4.9123020e+00 -2.6168704e+00  4.7157197e+00
  4.3880558e+00  2.4720542e+00 -5.3663225e+00 -2.7020378e+00]"
