SN,Filename,Title of Song,URL,Type,Language,Sentiment,Lyrics,Genre,Meaning of Song
1,Segment_1_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x3",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
2,Segment_2_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x4",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
3,Segment_3_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x5",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
4,Segment_4_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x6",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
5,Segment_5_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x7",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
6,Segment_6_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x8",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
7,Segment_7_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x9",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
8,Segment_8_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x10",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
9,Segment_9_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x11",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
10,Segment_10_A. B. Crentsil - I Go Pay You Tomorrow.mp4,A. B. Crentsil - I Go Pay You Tomorrow,https://www.youtube.com/watch?v=1EKjoY5mJFc,MP4,English,Negative,"Too much troubles oh my brother x1 Akpeteshie seller give me quarter x4 I go pay you tomorrow aye x4 Seller give me half oh x2 I go pay you Monday aye x2 Too much problems in my head oh x2 Too much wahala in my house oh x2 I don’t know wetin I go do x2 My wife dey shout for money oh x1 My children dey cry for chop oh x1 So so wahala in my house x2 I want to forget my problems x2 I want to forget my sorrow x2 Life for hard for me x2 If I buzz oh, I go forget my problems x3 If I buzz oh, I go forget my sorrows x3 If I buzz oh, I go forget my troubles x12",Highlife,"The song express the struggles and frustrations of an individual dealing with financial hardships and family pressures. The repetition of seeking alcohol (Akpeteshie) as a temporary escape highlights the desire to forget problems, including the constant demands for money from a spouse and children. Ultimately, the refrain ""I go pay you tomorrow"" reflects a sense of hope and the ongoing cycle of debt and responsibility amid life's challenges."
