SN,Filename,Title of Song,URL,Type,Language,Sentiment,Lyrics,Genre,Meaning of Song
1,Segment_1_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
2,Segment_2_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
3,Segment_3_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
4,Segment_4_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
5,Segment_5_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
6,Segment_6_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
7,Segment_7_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
8,Segment_8_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
9,Segment_9_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
10,Segment_10_Amerado - Kwaku Ananse.mp4,Amerado - Kwaku Ananse,https://www.youtube.com/watch?v=VnkwWQCTGps,MP4,Twi,Neutral,"Oh, yo, yo, yo, yo! (It's Joe MadeIt)
They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they're gossiping about me
I'm tired, but I've gained a little; I’ve used some to restart
I'm born into this life, and I've put my hand to the ground
Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger
What I want is to walk with my feet touching the ground
If I don’t go, my family will be hungry
I do this for my family and myself
The dream is to conquer hunger

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire (woyoo-ii)
Woyoo-ii
I'm a soldier
A one-man soldier
I’m not afraid of water, not afraid of fire

They say I'm quiet because I don't like people
When I speak, they say I'm noisy
Kwaku Ananse, even when I'm asleep, they’re gossiping about me
They say I'm quiet because I don't like people
When I speak, they say I'm noisy, ah!
Kwaku Ananse, even when I'm asleep, they're out there tarnishing my name
I'm tired, but I’ve gained a little; I’ve used some to restart
I'm born into this life, and I’ve put my hand to the ground

Life is a wild carnival
Let me enjoy my moment, the box is hot
If I catch it and you have none, I can still pass it on
I cherish every moment; me, my spirit is free
Life is a wild carnival
Let me enjoy my moment, the box is hot

Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me
Thousands hate me, thousands love me
When I fall to the ground, I’ll rise again
When my family eats, I feel at peace
I look at your shoes, Kay, it doesn’t move me

It's Joe MadeIt","HipHop,Asakaa","The song reflects resilience and self-reliance in facing life's challenges, embracing both love and hate from others. It highlights a dedication to family and self-empowerment, likening life to a ""wild carnival"" where the artist strives to remain grounded and unafraid."
