SN,Filename,Title of Song,URL,Type,Language,Sentiment,Lyrics,Genre,Meaning of Song
1,Segment_1_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
2,Segment_2_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
3,Segment_3_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
4,Segment_4_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
5,Segment_5_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
6,Segment_6_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
7,Segment_7_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
8,Segment_8_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
9,Segment_9_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
10,Segment_10_Adina feat Kuami Eugene - Killing Me Softly.mp4,Adina feat Kuami Eugene - Killing Me Softly ,https://www.youtube.com/watch?v=SxhCYY9POZ4,MP4,Twi,Positve,"Adina
And they call me Eugene, oh yeah yeah
You are the reason why I am still alive
'Cause I depend on you so I can survive
I promise because of you, I’ll change my life
My baby, wait for me, I will soon arrive
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
Full of confusion, Adina
So I’ll do anything for your love, Adina
When I see you, I am so happy, Adina
When you’re around, it’s so captivating, Adina
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
My baby is not fake, not fake
She’s not fake, not fake
She’s not fake, not fake
And I’ll do anything for you, girl
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
What kind of love is this?
What kind of love is this?
Put your hand on my chest
Oh Lord, what kind of love is this?
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
When I see you, I am so happy
When you’re around, it’s so captivating
Full of confusion
So I’ll do anything for your love
When I see you, I am so happy
When you’re around, it’s so captivating
If you don’t come, I’ll die oh
Oh my baby, my baby
Baby, you’re killing me softly
Oh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby
Baby, you’re killing me softly
Ohhhh my baby, my baby, if you don’t come
Baby, you’re killing me softly, I’ll die oh
Adina
Oh yeah yeah
They call me Eugene",Love Poem,"The song is a heartfelt expression of love and admiration, with the singer deeply moved by his partner's presence. He feels that her love is vital to his happiness and survival, to the point where he can't imagine life without her. Describing her as genuine and irreplaceable, he promises to do anything to keep her in his life, as her love ""kills him softly,"" overwhelming him with emotion.









"
