SN,Filename,Title of Song,Url,Language,Lyrics,Genre,Meaning of Song,Sentiment,Onset_Strength,Chroma_Shift,HPSS,Zero_Crossing_Rate,MFCC
1,Segment_1_Amerado - 2 Things Ft. Sista Afia.mp3,Amerado - 2 Things Ft. Sista Afia,https://www.youtube.com/watch?v=91jJFDSu8A4,Twi,"If I wake up two things
Give God praises
Then I go get that money
Like play like play we're growing
I don't talk much cool gee
I usually don't mind stupidity
Empty barrels make noise
I live my live on a low key
I usually don't talk (x2)
Money doesn't like noise (x2)
Good beads don't talk much beauty doesn't like noise (x2)
I'm here do with me as you please (x2)
I've brought myself (x2)
Here is the issue keep on talking (x2)
He who hasn't sinned before (x2)
Oh yoo ii
Whether good or bad I praise my God
Put your foolishness somewhere
For I'm busy making money
I don't waste time I don't have time for foolishness
If I waste my time in a few years time
If I don't make serious and make it
My grown up days
You're the same ones to laugh at me that I don't have anything
That's why I'm working like a mad man
As you were blessing your kids I was the last one
The last one
But Paul who came late but is better than the forebearers
Yeyeye
Listen to me (x2)
If you like dig a grave and bury me (x2)
I'm still bounce back don't dare me (x2)
He who has ears let him hear (x2)
Oh yoo ii",Rap,This song tells of the firm resolve of the hustler. They give praise to God and work on themselves and making it. They do not mind the crowd or what others are saying and they push to make it no matter the odds against time.,Positive,1.5143661,0.41232693,6.939278e-05,0.05355299864891914,"[-152.00243     146.51851      -1.2126117    33.067146     -8.784284
   20.45533     -15.8197155     8.4431925   -10.04369      -2.2351687
   -7.068619     -6.308988     -5.263221    -11.149449     -2.133612
  -12.428709     -5.385906    -13.974148     -3.4660337    -4.806264
   -0.5158633    -2.2034123    -3.0360606    -2.6282105    -4.0063725
   -3.2793596    -4.935383      1.4078252    -1.0335698     2.852834
   -1.9722551     0.24308646   -1.4379       -1.7402332    -3.2438228
   -2.8981602    -3.4126832    -5.661268     -2.798745     -4.1619906 ]"
2,Segment_1_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,0.9106964,0.49760705,2.3518169e-05,0.015259471019553073,"[-396.12915     171.77422      39.54673      46.62992      25.233746
   25.668524     10.831102      8.219354     13.540441      1.0316697
    0.6334482    10.710043     -3.7801783    -2.3899267     9.273944
    5.182663      6.548409      2.1457195     1.1725026     4.636495
    1.6618401     0.53696936    3.7573426    -0.61568135   -1.7910414
   -7.368598     -7.8801823     4.5388284     6.4247665     8.98639
   13.8758135    11.157199     10.115369      6.432567     -4.0917954
   -5.9303474    -3.2164996     2.2861786     6.340576      3.1812143 ]"
3,Segment_2_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.4527678,0.44013366,0.000117472,0.057814378004807696,"[-2.2780080e+02  1.3891307e+02 -1.0850891e+01  3.7510853e+01
 -4.0678768e+00  3.1230305e+01 -5.9352274e+00  7.8793030e+00
  4.9991474e+00 -3.2469940e+00 -2.5797627e+00  1.3740897e+01
 -2.2038870e+00 -4.2411113e+00  8.9782238e+00  1.6675642e+00
  1.6065266e+00  6.3733089e-01  4.6558080e+00 -2.7418242e+00
  2.1776180e+00 -4.6109647e-01  1.5629527e-01 -6.3274150e+00
 -1.5196993e+00 -4.3865004e+00 -6.2881517e+00 -2.2298869e-02
  2.9897630e+00  7.7067108e+00  7.2424293e+00  1.0431570e+01
  6.1899724e+00  5.3071737e+00 -3.2664379e-01 -1.5351970e+00
 -7.9662263e-01  3.5191832e+00  2.3160925e+00 -1.1611818e+00]"
4,Segment_3_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.5720665,0.44619167,-0.00016331642,0.0639621348387656,"[-1.8475151e+02  1.2252079e+02 -3.2029816e+01  4.2686691e+01
 -1.5549598e+01  3.2370171e+01 -1.5546122e+01  9.6140652e+00
 -1.4389181e+00 -6.3317618e+00 -5.8921804e+00  1.2903071e+01
  4.2225830e-02 -3.6719491e+00  8.2993670e+00 -3.6653922e+00
 -1.8614058e+00 -3.2725034e+00  2.5634155e+00 -6.8542809e+00
  2.3597593e+00 -8.9473343e-01 -1.7714875e+00 -5.6881151e+00
  3.0832374e+00 -3.0403404e+00 -5.1335344e+00  6.1379820e-01
 -7.1413434e-01  5.3512692e+00  4.6793275e+00  9.4152670e+00
  4.3693199e+00  4.3512325e+00 -8.5386449e-01 -3.8858926e+00
 -4.8928246e+00  1.1984758e+00  2.6044359e+00  1.5741141e+00]"
5,Segment_4_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.5312743,0.4380519,-2.0607933e-05,0.0936430898914214,"[-184.85791     119.665596    -37.99106      36.870598    -17.918608
   29.934183    -20.297338      9.488087     -1.7958645    -9.248671
   -9.430501     11.38813      -5.9314885    -8.501233      3.6565368
   -7.022049     -3.4319904    -4.0506754     1.6122172    -8.128709
    0.30460322   -5.0320196    -2.722675     -8.846099     -0.4862208
   -3.7374656    -4.7902846    -1.2355354    -1.366104      4.664332
    2.1901999     6.0933404     2.1586974     2.9225297    -1.8308717
   -0.69661057   -2.7049165     2.3026838     0.6595412    -1.9335871 ]"
6,Segment_5_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.4142431,0.45945778,-0.00012998725,0.05291476328903655,"[-2.04325912e+02  1.27745575e+02 -1.40175858e+01  5.10026054e+01
 -9.44923878e+00  3.38834534e+01 -6.87345839e+00  1.25191317e+01
  3.71681333e+00 -3.36204457e+00 -3.89396358e+00  1.11803951e+01
  6.99359894e-01 -5.06392813e+00  6.41002655e+00  4.75429821e+00
  7.63531113e+00 -2.27208495e+00  5.96452951e+00  8.62465620e-01
  7.00582206e-01 -4.06169224e+00  2.03758931e+00 -1.92264664e+00
  2.30034304e+00 -2.12256354e-03 -5.78163719e+00 -2.23888016e+00
 -3.27784991e+00  3.38861513e+00  4.13865614e+00  7.90743113e+00
  4.62495995e+00  5.43891144e+00  2.63170481e+00  4.18633890e+00
  3.68774652e+00  4.24795008e+00  5.61806023e-01 -3.89572573e+00]"
7,Segment_6_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.498833,0.40182266,-4.0043455e-05,0.09883180877866124,"[-2.07785736e+02  1.14023575e+02 -1.67566509e+01  5.13037415e+01
 -2.17049141e+01  2.86666393e+01 -1.96470356e+01  9.92173481e+00
 -9.73941088e-01 -5.27238703e+00 -1.13086739e+01  9.16116333e+00
 -3.89721632e+00 -8.50204086e+00  4.64946795e+00  2.06229851e-01
  8.34721863e-01 -6.24373055e+00  1.52379143e+00 -6.60716200e+00
 -8.48063648e-01 -8.05991745e+00  6.55699790e-01 -6.07318592e+00
 -7.56912708e-01 -3.94862223e+00 -7.85994625e+00 -1.88231099e+00
 -1.12537193e+00  3.71829391e+00  2.76256299e+00  6.51986551e+00
  3.59708786e+00  5.32415199e+00 -9.39428926e-01  3.53624523e-01
 -1.87228048e+00  2.06702065e+00 -8.27612817e-01 -2.99311900e+00]"
8,Segment_7_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.5176445,0.5061187,-1.874991e-05,0.07142807246959942,"[-2.0302769e+02  1.1982669e+02 -1.7660034e+01  4.9509132e+01
 -1.4498779e+01  3.3194733e+01 -8.7949514e+00  9.2730122e+00
  3.5963032e+00 -1.1938750e+00 -5.3865795e+00  1.2612269e+01
  1.9687238e+00 -5.1801305e+00  3.7584381e+00  1.5224839e+00
  2.4398601e+00 -5.3974366e+00  2.9938869e+00 -1.6035696e+00
  2.2645981e+00 -4.4286656e+00  7.7944654e-01 -4.0391402e+00
 -2.3701619e-01 -2.1055324e+00 -4.1770267e+00 -9.7509161e-02
 -4.1726711e-01  2.6746242e+00  1.4429896e+00  3.2137830e+00
  1.1849798e+00  4.9668450e+00 -2.4968609e-01  3.3737308e-01
 -1.2859521e+00  1.4802949e+00 -4.9516791e-01 -2.6215634e+00]"
9,Segment_8_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.3649429,0.37380505,-9.568162e-05,0.04848826831539735,"[-231.53278    143.92825    -14.222368    28.196932   -11.271447
   21.380337   -10.513116     1.1075984   -3.6085389   -7.135427
   -8.152198     9.83764     -5.802968    -8.656734     7.4888124
   -1.366696     1.5363556    1.114435     1.138672    -6.5746813
   -1.0869142   -5.5159554   -2.5017333   -6.718953    -3.9919615
   -6.3653355  -11.61499     -3.4351757   -1.672749     3.52367
    5.311591     6.5579658    8.301234     5.486887    -2.9815996
   -4.208294    -4.972791     1.0405364    0.2462512   -2.0989952]"
10,Segment_9_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.2239491,0.37157202,-6.596729e-06,0.056789277219873154,"[-2.1964552e+02  1.4450983e+02 -2.6706831e+01  2.2167940e+01
 -3.7250206e+00  2.5043159e+01 -1.6298458e+01  1.0178641e+00
 -1.2529904e+00 -1.0275388e+01 -1.0524264e+01  6.3033090e+00
 -3.7966163e+00 -9.4344034e+00  1.6047723e+00 -3.5916977e+00
  1.1561176e+00  1.2028333e+00  3.0479400e+00 -5.8144269e+00
 -3.5025671e+00 -5.5515175e+00 -1.1095653e+00 -6.1003361e+00
 -4.2754879e+00 -5.4861536e+00 -1.1320188e+01 -6.1232166e+00
 -2.9029565e+00  2.9838076e+00  4.1801848e+00  6.2467532e+00
  6.0151734e+00  5.3506870e+00 -6.0872281e-01  5.7702476e-01
  1.1099796e-02  2.5949061e+00  1.3494828e-01 -5.4770684e+00]"
11,Segment_10_Black Sherif - Kilos Milos.mp3,Black Sherif - Kilos Milos,https://www.youtube.com/watch?v=aID6FoFhZqk,Twi,"Ayoo who you are don't forget o
If the darkness gets to you don't forget o
Who you are don't forget o
The life is hard I train my body you know my target Van Damme
I won't use my mouth to swear
All you niggas talk
Mad over the smallest things like say you dey run town
Walk around and call you king make I design you a crown
Everybody talking like they help me pass myself
Man remember one day (x2) man remember
If I'm a gansta I don't talk o
If I'm a rasta I preach peace so some road I towed before I'm returned now
Two things I'vÐµ never been, a dummy and a pussyclaata
Trees dey makÐµ I lazy lately I mix tobaccca ne grabba
I also think mamba
I remove and put on my plaster 
Like I've come (x2)
Then times then my people hit a milli (x2)
We eat half and take the rest import milos (x2)
Or kilos, or kilos (x2)
Only big ones Elephant oooh (x2)
Time waits for no man and time deafens the ear (x2)
We say we've dressed and sleep but now our knees are weak (x2)
Now we fight for weights on ourselves (x2)
None will tell you that Joe your time is up (x2)
You'll get up yourself (x2)
And you'll go to church
You'll call upon your God
And you'll say upon him Father, Father I'm suffering
",Rap,From no one to stardom. This song speaks of the resilience of the artist. It is a reflection fo the rapid changes and experiences he has been through. It speaks of remembering who you are and all that you've been through.,Positive,1.3155763,0.46360785,-0.00022027348,0.05209262409707541,"[-188.79134     133.59682     -23.824009     44.88871     -10.591
   30.507359    -11.8737335     9.853466      1.8252913    -5.729929
   -9.242793      8.1963        0.4300765    -3.8120072     5.455766
    1.6903156     8.088722      1.4247477     6.4649167    -2.8686342
   -2.2011843    -5.2834096     1.5879092    -4.3252316    -1.1538583
   -2.3405418    -6.9364552    -3.7371135    -4.4222074     1.8275476
    1.9383986     5.5891023     3.4590843     5.4079666     1.616382
    2.5613277     2.4839609     3.8891633    -0.20660727   -4.01373   ]"
