SN,Filename,Title of Song,URL,Type,Language,Sentiment,Lyrics,Genre,Meaning of Song
1,Segment_1_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
2,Segment_2_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
3,Segment_3_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
4,Segment_4_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
5,Segment_5_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
6,Segment_6_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
7,Segment_7_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
8,Segment_8_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
9,Segment_9_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
10,Segment_10_Akwaboah - Forget ft. Strongman (Official Video).mp4,Akwaboa - Forget Ft. Strongman (Official Video),https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,MP4,English,Positive,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (×2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)×2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her
