SN,Filename,Title of Song,Url,Language,Lyrics,Genre,Meaning of Song,Sentiment,Onset_Strength,Chroma_Shift,HPSS,Zero_Crossing_Rate,MFCC
1,Segment_1_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,0.80652225,0.23749298,1.9616105e-06,0.03803181382077352,"[-4.6853455e+02  9.8290291e+01 -6.1564698e+00  1.2400647e+01
 -1.8028627e+01  1.0149551e+01 -6.3009095e+00  8.5899048e+00
 -8.1042767e+00  6.1176095e+00 -4.8022609e+00 -4.6626396e+00
 -8.9375668e+00 -3.9439006e+00  2.0411305e+00 -3.1756227e+00
 -1.3127285e+00 -4.4635391e+00  1.6684786e+00 -5.5282598e+00
 -5.8282828e-01 -3.8062263e+00 -1.5927625e-01 -4.1398382e+00
 -2.2492893e+00 -2.9478703e+00 -5.4166117e+00 -4.3802643e+00
 -1.5159132e+00 -6.5600759e-01 -4.5999222e+00 -1.7025218e+00
 -1.7548491e+00  1.0501685e+00  9.1421735e-01  6.3079572e-01
 -3.7167475e+00 -6.0362358e+00 -7.7865992e+00 -2.1152542e+00]"
2,Segment_2_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.4599298,0.35760114,5.34949e-06,0.05736786056746656,"[-2.65992523e+02  1.50629959e+02 -2.12930527e+01  2.03389320e+01
 -1.29926920e+01  2.33279228e+01 -1.56833019e+01  1.68751144e+01
 -5.40732193e+00  3.49048758e+00 -4.67480421e-01  9.85016167e-01
 -6.92025232e+00 -5.62733412e+00 -6.27576637e+00 -8.74820805e+00
 -6.55267429e+00 -1.58501921e+01 -3.83895826e+00 -8.80288315e+00
 -5.63571358e+00 -7.95151901e+00  3.64223540e-01 -7.58504009e+00
 -2.91357923e+00 -6.03816891e+00 -6.21316814e+00 -7.28436327e+00
 -7.01749516e+00 -1.77331343e-01 -3.50103378e+00 -1.15707725e-01
 -1.34696469e-01  3.74709678e+00 -8.75692666e-02  2.04795599e+00
 -4.36575937e+00 -8.65404510e+00 -1.14828072e+01 -5.72208118e+00]"
3,Segment_3_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.4124868,0.36419275,1.7262491e-05,0.07368034967923795,"[-2.4333556e+02  1.3352905e+02 -1.9341612e+01  3.0401894e+01
 -1.6187536e+01  2.7356647e+01 -1.5631918e+01  1.7607212e+01
 -3.1054590e+00  5.5341926e+00 -8.9235848e-01  7.1312565e-01
 -7.0773778e+00 -6.4379625e+00 -5.0752206e+00 -1.2033827e+01
 -5.6474695e+00 -1.1166118e+01 -2.9753814e+00 -9.1824408e+00
 -3.1999524e+00 -7.2911067e+00 -4.7272917e-02 -6.2795815e+00
 -3.2767127e+00 -6.7908244e+00 -7.9334745e+00 -7.3368564e+00
 -6.1547194e+00  1.8022628e-01 -2.0278373e+00 -1.7144773e+00
 -3.0433075e+00  2.9863243e+00 -9.1698498e-01  1.8306458e+00
 -4.3361788e+00 -6.8403888e+00 -1.0886273e+01 -6.9877543e+00]"
4,Segment_4_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.2569386,0.32682574,-1.9433268e-05,0.06075035674884881,"[-210.2526     138.38527    -13.859141    35.401646   -20.10419
   29.761456   -22.309101    12.677213    -8.959852   -11.357615
   -5.019463    -3.9848979  -14.958458   -10.790611    -5.9350734
   -9.88815     -1.8817445   -8.097119    -4.0831494   -5.514877
    1.7927508   -7.9925175    0.5041325   -4.4719257   -3.040266
   -2.5285354   -4.9979467   -7.652425    -9.008402    -3.4590473
   -3.6531138   -2.6908138   -1.4718515    4.0395203    2.8814769
    5.431366    -5.545446    -6.5148335  -10.021322    -6.504221 ]"
5,Segment_5_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.3230276,0.3740001,-2.4141094e-05,0.05386257533694001,"[-221.11726     149.00423     -10.116493     38.523575    -15.716588
   30.90278     -21.5896       18.145575    -10.770905     -4.7831516
   -8.160856     -4.785057    -16.536043    -13.518559     -8.173515
  -12.092124     -5.250186    -12.826594     -3.6207366    -8.263638
    1.9538565    -6.4219046     2.1974368    -3.5089052     0.6519774
   -1.7080382    -5.7171025    -5.078436     -6.7810793    -3.9400017
   -2.9173334    -1.4365245    -3.5863802     2.8145072    -0.98919106
    3.2651062    -2.7206142    -3.0979242    -6.1863923    -2.813117  ]"
6,Segment_6_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.3653018,0.39990422,2.362232e-06,0.05528668771083208,"[-2.3275394e+02  1.4734317e+02 -1.4800923e+01  3.6556370e+01
 -1.8085285e+01  3.4325546e+01 -1.9387976e+01  2.6476765e+01
 -8.4272909e+00  2.6080320e+00 -2.0319998e-01  2.0673454e+00
 -1.0343747e+01 -7.1892848e+00 -4.0686169e+00 -1.1424094e+01
 -6.4781117e+00 -1.1805147e+01 -1.8168340e+00 -1.3177351e+01
 -1.0067134e+00 -9.0268154e+00 -7.0114934e-01 -8.6578856e+00
 -2.7520738e+00 -4.1064095e+00 -7.2168479e+00 -4.9937396e+00
 -6.6947899e+00 -2.0453420e+00 -2.9143693e+00 -2.5177212e+00
 -4.3512025e+00  3.5051119e+00 -8.9192986e-01  3.4581630e+00
 -2.3233697e+00 -5.1907887e+00 -9.9489393e+00 -4.2086606e+00]"
7,Segment_7_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.3950667,0.395594,-1.2033406e-05,0.05622292554670126,"[-2.5453401e+02  1.4335390e+02 -7.2121024e+00  3.2198601e+01
 -1.3731387e+01  2.5304520e+01 -1.1972607e+01  2.2173864e+01
 -6.8172698e+00  6.1487641e+00 -1.7807372e+00  1.1752295e-01
 -7.0960317e+00 -3.6779864e+00 -1.9475328e+00 -7.9174771e+00
 -2.4019294e+00 -9.4102793e+00 -1.4047483e-01 -1.0423872e+01
 -1.6107987e+00 -5.0009370e+00 -5.9305441e-01 -6.4246116e+00
 -2.0359776e+00 -3.8794332e+00 -7.0213485e+00 -9.3394604e+00
 -9.1261454e+00 -4.2803097e+00 -5.6522951e+00 -2.5642214e+00
 -2.5830345e+00  2.4787943e+00 -6.2928492e-01  1.2675200e+00
 -4.5782852e+00 -7.3694787e+00 -1.1026919e+01 -3.5367134e+00]"
8,Segment_8_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.4367117,0.3989182,1.8156104e-05,0.08410876875915081,"[-2.1276967e+02  1.3752515e+02 -2.5056232e+01  3.2195045e+01
 -1.1170059e+01  3.3170784e+01 -2.1774250e+01  1.4665460e+01
 -1.1183985e+00  5.1554484e+00 -2.4639640e+00  2.0600924e+00
 -5.7127743e+00 -5.2511945e+00 -1.2830509e+00 -7.2994351e+00
 -3.9932377e+00 -9.6124630e+00 -1.7799138e+00 -9.0329456e+00
 -3.8899142e-02 -5.8534269e+00  1.3343297e+00 -6.4667454e+00
 -4.8110352e+00 -6.4881225e+00 -7.4293728e+00 -8.2052469e+00
 -7.1515374e+00 -1.1703050e+00 -6.0255451e+00 -4.9782948e+00
 -5.2980456e+00  1.0391994e+00 -1.6027982e+00  7.8181458e-01
 -3.6031425e+00 -4.6213503e+00 -7.5463533e+00 -2.2726612e+00]"
9,Segment_9_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.2703912,0.35315788,-3.6455454e-05,0.0559798012083635,"[-202.40233     151.71895     -18.25903      32.229004    -16.051222
   27.27561     -24.467562     19.564047    -15.0044365   -14.659075
   -7.6484213    -7.9979734   -15.932227    -13.798606     -8.034819
  -11.180184     -3.1201494    -8.875853      0.49218696   -6.660715
   -1.2452823    -7.964869     -0.44457406   -1.6710851     1.1973956
    1.1622137    -3.683262     -6.7418027    -7.1560388    -2.7867901
   -5.920651     -4.3104835    -3.529953      1.5777237     2.101697
    2.9512422    -5.7908783    -7.346009     -9.46593      -4.0091677 ]"
10,Segment_10_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crownâs getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
Thereâs nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether youâre scarfed or youâre bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or youâre dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth.",Positive,1.3274598,0.42569813,-5.4055046e-05,0.04408746591112303,"[-2.1240785e+02  1.5710518e+02 -7.2662458e+00  2.3114285e+01
 -4.9271564e+00  2.9977489e+01 -1.5953982e+01  1.0617076e+01
 -1.7474343e+00  1.8853267e+00 -1.0769684e+01 -1.6845624e+00
 -6.5006232e+00 -9.4841881e+00 -3.7024934e+00 -4.9627795e+00
 -2.4731984e+00 -9.6167841e+00 -1.5149317e+00 -7.6396008e+00
 -4.0569562e-02 -3.5313914e+00  2.2422290e+00 -3.7340293e+00
 -1.6212339e+00 -3.3686855e+00 -7.6036615e+00 -7.8701591e+00
 -5.8199306e+00 -8.0868733e-01 -3.1386209e+00 -1.7374616e+00
 -2.8979106e+00  2.2705603e+00  1.0078430e+00  3.2836771e+00
  1.3618581e-01 -2.1937859e+00 -7.6526594e+00 -3.6193082e+00]"
