SN,Filename,Title of Song,URL,Language,Type,Sentiment,Lyrics,Genre,Meaning of Song
1,Segment_1_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
2,Segment_2_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
3,Segment_3_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
4,Segment_4_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
5,Segment_5_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
6,Segment_6_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
7,Segment_7_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
8,Segment_8_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
9,Segment_9_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
10,Segment_10_Adomaa - Be Your Own Beautiful.mp3,Adomaa - Be Your Own Beautiful,https://www.youtube.com/watch?v=yg80DwpPqsY,English-Ga,MP3,Positive,"When I wake up in the morning
And my hair is all a mess
I don't fret, I don't worry
Pull up a bun, then I'm off in a hurry
In a taxi down to Osu
My messy fro begins to shrink
But I don't fret, I don't worry
My coily crown’s getting some love
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
And when you're feeling super quirky
And when you miss your local roots
Pull out those clips and comb the afro
Then maybe stretch it with some thread
And if you're feeling super sassy
And when your mane has got that glow
Shake out those tresses, lay those edges
There’s nothing sassier than your fro
I love my braids and Bantu knots
My twists and sister locks
I want my kinky braids crocheted
My curls and Marley locks displayed
I just love it like that, ooo
I look amazing, I look beautiful
Brand new hair, brand new me
Whether you’re scarfed or you’re bald
Ooooo
Rocking that cut or that bun
Ooooo
Whether in dreads or you’re dyed
Be your own beautiful
Be your own beautiful",Soul,"The song celebrates the beauty, versatility, and pride of natural hair, encouraging self-love and confidence in embracing one's unique look and cultural heritage. It conveys a message of empowerment, highlighting that every hairstyle, from afros to braids, expresses individuality and self-worth."
